brand_id,domain,candidate_page_url,link_text,asset_url,asset_type,confidence,notes
pinterest,pinterest.com,https://pinterest.com/assets,"Favorite Places & Spaces, 11 Pins·, 14y",https://pinterest.com/assets/favorite-places-spaces/,unknown,low,matched keyword: assets
pinterest,pinterest.com,https://pinterest.com/assets,"Modern Houses, 9 Pins·, 14y",https://pinterest.com/assets/modern-houses/,unknown,low,matched keyword: assets
pinterest,pinterest.com,https://pinterest.com/assets,"Products I Love, 1 Pin·, 14y",https://pinterest.com/assets/products-i-love/,unknown,low,matched keyword: assets
pinterest,pinterest.com,https://pinterest.com/assets,"People at our Resorts, 5 Pins·, 14y",https://pinterest.com/assets/people-at-our-resorts/,unknown,low,matched keyword: assets
whatsapp,whatsapp.com,https://whatsapp.com/press,Apps,https://whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/press,Download,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/press,Apps,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/press,Download,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/press,,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/press,Download,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/press,Download,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/press,iPhone,https://www.whatsapp.com/download/mobile,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/press,Mac/PC,https://www.whatsapp.com/download/desktop,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/press,Apps,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/press,Download,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/about,Apps,https://whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/about,Download,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/about,Apps,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/about,Download,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/about,,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/about,Download,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/about,Download,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/about,iPhone,https://www.whatsapp.com/download/mobile,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/about,Mac/PC,https://www.whatsapp.com/download/desktop,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/about,Apps,https://www.whatsapp.com/download,unknown,low,matched keyword: download
whatsapp,whatsapp.com,https://whatsapp.com/about,Download,https://www.whatsapp.com/download,unknown,low,matched keyword: download
telegram,telegram.org,https://telegram.org/press,top-5 most downloaded apps,https://www.forbes.com/sites/johnkoetsier/2021/12/27/top-10-most-downloaded-apps-and-games-of-2021-tiktok-telegram-big-winners/,unknown,low,matched keyword: download
telegram,telegram.org,https://telegram.org/press,Telegram logos,https://telegram.org/press#telegram-logos,press,medium,matched keyword: logo
telegram,telegram.org,https://telegram.org/press,Telegram saw 8m downloads after WhatsApp got acquired,http://techcrunch.com/2014/02/24/telegram-saw-8m-downloads-after-whatsapp-got-acquired/,unknown,low,matched keyword: download
telegram,telegram.org,https://telegram.org/press,,https://telegram.org/press#telegram-logos,press,medium,matched keyword: logo
discord,discord.com,https://discord.com/newsroom,Download1 of 9,https://discord.com/download,unknown,low,matched keyword: download
discord,discord.com,https://discord.com/newsroom,Download,https://discord.com/download,unknown,low,matched keyword: download
discord,discord.com,https://discord.com/newsroom,Download,https://discord.com/download,unknown,low,matched keyword: download
youtube,youtube.com,https://youtube.com/press,Brand Guidelines,https://www.youtube.com/howyoutubeworks/resources/brand-resources/#logos-icons-colors,brand-assets,medium,matched keyword: logo
youtube,youtube.com,https://youtube.com/media,Brand Guidelines,https://www.youtube.com/howyoutubeworks/resources/brand-resources/#logos-icons-colors,brand-assets,medium,matched keyword: logo
youtube,youtube.com,https://youtube.com/about,Brand Guidelines,https://brand.youtube/,brand-assets,medium,matched keyword: brand guidelines
netflix,netflix.com,https://netflix.com/press,Go to About Netflix,https://about.netflix.com/en/company-assets,unknown,low,matched keyword: assets
netflix,netflix.com,https://netflix.com/press,Company Assets,https://about.netflix.com/en/company-assets,unknown,low,matched keyword: assets
